'l	<i>article</i><br><ol><li>(definite) the</li></ol>
'n|’n	<i>prep</i><br><ol><li>(obsolete) Contraction of en.</li></ol>
AFI	<i>name</i><br><ol><li>IPA (International Phonetic Alphabet)</li></ol>
ALLA	<i>name</i><br><ol><li>Initialism of Academia de la Llingua Asturiana, the governing body of the Asturian language.</li></ol>
Afganistán	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Alba	<i>name</i><br><ol><li>Clipping of Alba de Tormes.</li></ol>
Albania	<i>name</i><br><ol><li>Albania (a country in southeastern Europe)</li></ol>
Alemaña	<i>name</i><br><ol><li>Germany</li></ol>
Amberes	<i>name</i><br><ol><li>Antwerp</li></ol>
América	<i>name</i><br><ol><li>America Continent which extends from Canada to Chile</li></ol>
Andorra	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Angola	<i>name</i><br><ol><li>Angola (a country in Southern Africa)</li></ol>
Arabia Saudita	<i>name</i><br><ol><li>Saudi Arabia (a country in the Middle East)</li></ol>
Aragón	<i>name</i><br><ol><li>Aragon (an autonomous community of Spain)</li></ol>
Aristóteles	<i>name</i><br><ol><li>Aristotle</li></ol>
Armenia	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Arxelia	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Arxentina	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Asclepiu	<i>name</i><br><ol><li>(Greek mythology) Asclepius (greek god of medicine and healing)</li></ol>
Asia	<i>name</i><br><ol><li>Asia (a continent)</li></ol>
Asturies	<i>name</i><br><ol><li>Asturias (an autonomous community and province of Spain)</li></ol>
Atenes	<i>name</i><br><ol><li>Athens (the capital city of Greece)</li></ol>
Atlánticu	<i>name</i><br><ol><li>the Atlantic (the Atlantic Ocean)</li></ol>
Australia	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
Austria	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Azerbaixán	<i>name</i><br><ol><li>Azerbaijan</li></ol>
Azerbaiyán	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Azerbayán	<i>name</i><br><ol><li>Azerbaijan</li></ol>
Badaxoz	<i>name</i><br><ol><li>Badajoz (a province of Extremadura, Spain)</li><li>Badajoz (a city, the provincial capital of Badajoz, Spain)</li></ol>
Bakú	<i>name</i><br><ol><li>Baku (the capital of Azerbaijan)</li></ol>
Balcanes	<i>name</i><br><ol><li>Balkans</li></ol>
Bangladesh	<i>name</i><br><ol><li>Bangladesh (a country in Asia)</li></ol>
Bangladex	<i>name</i><br><ol><li>Bangladesh</li></ol>
Barbados	<i>name</i><br><ol><li>Barbados (an island and country in the Caribbean)</li></ol>
Beixín|Beijing	<i>name</i><br><ol><li>Beijing (a direct-administered municipality, the capital city of China)</li></ol>
Belize	<i>name</i><br><ol><li>Belize (a country in Central America)</li></ol>
Berlín	<i>name</i><br><ol><li>Berlin (the capital and largest city of Germany)</li></ol>
Biblia	<i>name</i><br><ol><li>Bible (Christian holy book)</li></ol>
