ఀ	<i>character</i><br><ol><li>The combining candrabindu nasal vowel diacritic of the Telugu script.</li></ol>
ఁ	<i>character</i><br><ol><li>The candrabindu nasal vowel diacritic of the Telugu script.</li></ol>
ం	<i>character</i><br><ol><li>The anusvara diacritic of the Telugu script.</li></ol>
ః	<i>character</i><br><ol><li>It pronounces h without any sound</li></ol>
అ|a	<i>character</i><br><ol><li>The first letter of the Telugu alphabet.</li></ol><br><i>adj</i><br><ol><li>The base of the demonstrative pronouns అతడు (ataḍu), వాడు (vāḍu), అది (adi).</li><li>The termination of many pure Telugu words in the feminine and neuter genders, e. g., అమ్మ (amma), అక్క (akka), అత్త (atta), అప్ప (appa), అవ్వ (avva), దండ (daṇḍa), కర్ర (karra), నేల (nēla), వల (vala), ఓడ (ōḍa). But of a few masculines only; e. g., తాత (tāta), మామ (māma), అన్న (anna), బావ (bāva), దొర (dora).</li><li>A vocative suffix.</li><li>A suffix meaning 'By oneself without the help of another'.</li><li>A negative prefix becoming AN before vowels and corresponding to the privatives Ancient Greek ᾰ̓- (a-), ἀν- (an-), Latin in-, and English un-.</li></ol>
అం|aṁ	<i>character</i><br><ol><li>A Telugu letter.</li></ol>
అంకం|aṅkaṁ|అంకాలు	<i>noun</i><br><ol><li>Numerical figure, digit.</li><li>Act (in a play).</li><li>Lap.</li></ol>
అంకకాడు|అంకకాళ్ళు|aṅkakāḍu	<i>noun</i><br><ol><li>One who is distinguished by a sign.</li><li>The leader. One who excites quarrels.</li></ol>
అంకగణితం|అంకగణితాలు|aṅkagaṇitaṁ	<i>noun</i><br><ol><li>arithmetic</li></ol>
అంకగణితము|అంకగణితములు|aṅkagaṇitamu	<i>noun</i><br><ol><li>arithmetic</li></ol>
అంకణము|aṅkaṇamulu|అంకణములు|aṅkaṇamu	<i>noun</i><br><ol><li>The space between any two beams or pillars.</li><li>apartment</li><li>The act of branding or marking.</li></ol>
అంకపాళి|అంకపాళులు|aṅkapāḷi	<i>noun</i><br><ol><li>embrace</li></ol>
అంకపాళిక|అంకపాళికలు|aṅkapāḷika	<i>noun</i><br><ol><li>embrace</li></ol>
అంకపీఠము|aṅkapīṭhamu|అంకపీఠములు	<i>noun</i><br><ol><li>lap: The upper legs of a seated person.</li></ol>
అంకము|aṅkamulu|aṅkamu|అంకములు	<i>noun</i><br><ol><li>An act in a play.</li><li>A chapter or section.</li></ol>
అంకమ్మ|aṅkamma	<i>name</i><br><ol><li>Name of a Hindu village goddess.</li></ol>
అంకవిద్య|aṅkavidya|అంకవిద్యలు	<i>noun</i><br><ol><li>(mathematics) arithmetic.</li></ol>
అంకాపొంకాలు|అంకాపొంకాళ్ళు|aṅkāpoṅkālu	<i>noun</i><br><ol><li>fierceness, fury</li><li>violence</li><li>enmity, opposition</li></ol>
అంకారా|aṅkārā	<i>name</i><br><ol><li>Ankara (the capital of Turkey)</li></ol>
అంకారించు|aṅkāriñcu	<i>verb</i><br><ol><li>to set sail.</li></ol>
అంకించు|aṅkiñcu	<i>verb</i><br><ol><li>To raise, take up, lift up.</li></ol>
అంకియ|అంకియలు|aṅkiya	<i>noun</i><br><ol><li>A numerical figure.</li></ol>
అంకుడు|aṅkuḍu|అంకులు	<i>noun</i><br><ol><li>He who is marked or distinguished.</li></ol>
అంకురము|aṅkuramu|అంకురం|అంకురాలు|aṅkuraṁ|అంకురములు	<i>noun</i><br><ol><li>A germ, a sprout, a bud.</li></ol>
అంకురారోహణము|అంకురారోహణములు|aṅkurārōhaṇamu	<i>noun</i><br><ol><li>commencement, launching, beginning or starting (of a programme).</li></ol>
అంకురార్పణము|aṅkurārpaṇamu|అంకురార్పణములు	<i>noun</i><br><ol><li>commencement, launching, beginning or starting (of a programme).</li></ol>
అంకురించు|aṅkuriñcu|అంకురింౘు|aṅkuriṁĉu	<i>verb</i><br><ol><li>To sprout.</li></ol>
అంకుశము|aṅkuśamulu|అంకుశం|aṅkuśamu|అంకుసము|అంకుశములు|aṅkusamu|అంకుసములు|aṅkuśaṁ|అంకుశాలు	<i>noun</i><br><ol><li>an elephant-goad.</li><li>(in compound words) a restrainer, a corrector.</li></ol>
అంకె|అంకెలు|aṅke	<i>noun</i><br><ol><li>A numerical figure.</li></ol>
అంగజ|aṅgaja|అంగజలు	<i>noun</i><br><ol><li>daughter</li></ol>
అంగజాల|అంగజాలలు|aṅgajāla	<i>noun</i><br><ol><li>sentinel</li></ol>
అంగజాలవాడు|అంగజాలవాళ్ళు|aṅgajālavāḍu	<i>noun</i><br><ol><li>village drudge</li></ol>
అంగజుడు|అంగజులు|aṅgajuḍu	<i>noun</i><br><ol><li>A son.</li><li>Cupid.</li></ol>
అంగడి|అంగడ్లు|aṅgaḍi|అంగళ్లు|aṅgaḍlu	<i>noun</i><br><ol><li>shop, market, stall</li></ol>
అంగడికాడు|అంగడికాళ్ళు|aṅgaḍikāḍu	<i>noun</i><br><ol><li>shopkeeper, businessman</li></ol>
అంగడిబొమ్మ|aṅgaḍibomma|అంగడిబొమ్మలు	<i>noun</i><br><ol><li>prostitute</li></ol>
అంగదుడు|aṅgaduḍu	<i>name</i><br><ol><li>(Hinduism) Angada, son of Vali in the Ramayana.</li></ol>
అంగన|అంగనలు|aṅgana|aṅganalu	<i>noun</i><br><ol><li>woman.</li><li>(Hinduism) name of the wife of one of the eight mythical elephants supposed to support the earth's crust.</li></ol>
అంగన్యాసము|అంగన్యాసములు|aṅganyāsamu	<i>noun</i><br><ol><li>Touching various parts of one's body with the hand, or with the fingers, accompanied by appropriate mantras as a religious ceremony.</li></ol>
అంగమర్దనము|అంగమర్దనం|aṅgamardanamu|aṅgamardanaṁ|అంగమర్దనాలు|అంగమర్దనములు	<i>noun</i><br><ol><li>Rubbing or squeezing the body.</li></ol>
అంగము|అంగములు|అంగాలు|aṅgālu|aṅgamulu|aṅgaṁ|aṅgamu|అంగం	<i>noun</i><br><ol><li>The body.</li><li>A limb, organ or member of the body.</li><li>A part, division, department.</li><li>A branch.</li><li>A supplement.</li></ol>
అంగమొల|aṅgamola	<i>adj</i><br><ol><li>bare, naked, nude</li></ol>
అంగరక్షకుడు|aṅgarakṣakuḍu|aṅgarakṣakulu|అంగరక్షకులు	<i>noun</i><br><ol><li>bodyguard (protectors)</li></ol>
అంగలార్చు|aṅgalārcu	<i>verb</i><br><ol><li>To cry or lament.</li><li>To grieve or sorrow.</li></ol>
అంగలార్పు|aṅgalārpu|అంగలార్పులు	<i>noun</i><br><ol><li>grief, sorrow.</li></ol>
