13.	<i>adj</i><br><ol><li>13th</li></ol>
4.	<i>adj</i><br><ol><li>4th</li></ol>
A|a	<i>character</i><br><ol><li>The first letter of the Faroese alphabet, written in the Latin script.</li></ol>
Abkasia	<i>name</i><br><ol><li>Abkhazia</li></ol>
Afganistan|Afganistani|Afganistans	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Alaska	<i>name</i><br><ol><li>Alaska (a state of the United States)</li></ol>
Aleutoyggjar|Aleutoyggja|Aleutoyggjum	<i>name</i><br><ol><li>Aleutian Islands</li></ol>
Amsterdam	<i>name</i><br><ol><li>Amsterdam (the capital of the Netherlands)</li></ol>
Angola	<i>name</i><br><ol><li>Angola (a country in Africa)</li></ol>
Arábia	<i>name</i><br><ol><li>Arabia</li></ol>
Atlantshav|Atlantshavið|Atlantshavsins|Atlantshavi|Atlantshavs|Atlantshavinum	<i>noun</i><br><ol><li>Atlantic Ocean</li></ol>
Avstralia	<i>name</i><br><ol><li>Australia</li></ol>
Aşgabat	<i>name</i><br><ol><li>Ashgabat (the capital city of Turkmenistan)</li></ol>
BTÚ	<i>noun</i><br><ol><li>Initialism of bruttotjóðarúrtøka (“gross domestic product”).</li></ol>
Bakkus|Bakkusi	<i>name</i><br><ol><li>(Roman mythology) Bacchus</li></ol>
Baldur|Baldri|Baldurs	<i>name</i><br><ol><li>the Norse god</li></ol>
Belis	<i>name</i><br><ol><li>Belize (a country in Central America)</li></ol>
Benin|Benini|Benins	<i>name</i><br><ol><li>Benin (a country in West Africa)</li></ol>
Benjamin|Benjamins|Benjamini	<i>name</i><br><ol><li>(biblical) Benjamin</li></ol>
Berlin	<i>name</i><br><ol><li>Berlin (the capital of Germany)</li></ol>
Bern	<i>name</i><br><ol><li>Bern (the capital of Switzerland)</li></ol>
Bjørgvin|Bjørgvinjar|Bjørgvinar	<i>name</i><br><ol><li>Bergen (a city in Norway)</li></ol>
Bologna|Bolognu	<i>name</i><br><ol><li>Bologna (a province of Italy)</li><li>Bologna (a city in Italy)</li></ol>
Borðoy|Borðoynni|Borðoynna|Borðoyar|Borðoyggin	<i>name</i><br><ol><li>One of the Faroe Islands</li></ol>
Bretland|Bretlands|Bretlandi	<i>name</i><br><ol><li>Britain</li></ol>
Brynhild|Brynhildar	<i>name</i><br><ol><li>(Norse mythology) Brunhild</li></ol>
Bulgaria|Bulgarians|Bulgariað|Bulgarianum	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Burkina Faso	<i>name</i><br><ol><li>Burkina Faso (a country in West Africa)</li></ol>
Bylgja|Bylgju	<i>name</i><br><ol><li>(Norse mythology) Bylgja, one of the nine daughters of Ægir.</li></ol>
Bára|Báru	<i>name</i><br><ol><li>(Norse mythology) Bára, one of the nine daughters of Ægir.</li></ol>
Bíblian|Bíbliuni|Bíbliunnar|Bíblian f sg definite|Bíbliuna	<i>name</i><br><ol><li>the Bible</li></ol>
Bøur|Bíggjar|Bø|Bøi	<i>name</i><br><ol><li>Bøur (a village in the Sørvágur Municipality, on the island of Vágar, Faroe Islands)</li></ol>
Danmark	<i>name</i><br><ol><li>Denmark</li></ol>
Danmørk|Danmarkar	<i>name</i><br><ol><li>Denmark</li></ol>
Dublin	<i>name</i><br><ol><li>Dublin (the capital of Ireland)</li></ol>
EB	<i>name</i><br><ol><li>Initialism of Eiðis Bóltfelag.</li></ol>
Efesusbrævið|Efesusbrævinum|Efesusbræv|Efesusbrævsins|Efesusbrævs|Efesusbrævi	<i>name</i><br><ol><li>Ephesians (book of the Bible)</li></ol>
Egyptaland|Egyptalandi|Egyptalands	<i>name</i><br><ol><li>Egypt</li></ol>
Eir|Eirar	<i>name</i><br><ol><li>(Norse mythology) Eir, Old Norse goddess of medicine.</li></ol>
Ermarsund|Ermarsundi|Ermarsunds	<i>name</i><br><ol><li>the English Channel</li></ol>
Estland|Estlands|Estlandi	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Evropa	<i>name</i><br><ol><li>Europe</li></ol>
Eysturoy|Eysturoynni|Eysturoyar|Eysturoynna|Eysturoyggin	<i>name</i><br><ol><li>one of the Faroe Islands</li></ol>
Eysturríki|Eysturríkis	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Eysturríki-Ungarn|Eysturríki-Ungarni|Eysturríki-Ungarns	<i>name</i><br><ol><li>Austria-Hungary</li></ol>
Eysturtýskland	<i>name</i><br><ol><li>East Germany (former European country); the German Democratic Republic; (abbreviated DDR)</li></ol>
FSF	<i>name</i><br><ol><li>(soccer) Initialism of Fótbóltssamband Føroya. (Faroe Islands Football Association)</li></ol>
Fidji	<i>name</i><br><ol><li>Fiji (a country and archipelago in Oceania)</li></ol>
Fidjioyggjar|Fidjioyggja|Fidjioyggjum	<i>name</i><br><ol><li>Fiji</li></ol>
Filemonsbrævið|Filemonsbrævsins|Filemonsbrævs|Filemonsbræv|Filemonsbrævi|Filemonsbrævinum	<i>name</i><br><ol><li>Philemon (book of the Bible)</li></ol>
Finnland|Finnlands|Finnlandi	<i>name</i><br><ol><li>Finland</li></ol>
Frakland|Fraklandi|Fraklands	<i>name</i><br><ol><li>France</li></ol>
Froya|Froyu	<i>name</i><br><ol><li>(Norse mythology) Freya</li></ol>
Fugloy|Fugloynni|Fugloyar|Fugloynna|Fugloyggin	<i>name</i><br><ol><li>The easternmost of the Faroe Islands</li></ol>
Funningsfjørður|Funningsfjarðar|Funningsfjørð|Funningsfirði	<i>name</i><br><ol><li>Funningsfjørður (a fjord in the Faroe Islands)</li><li>Funningsfjørður (a village in the Faroe Islands, at the end of the fjord of the same name)</li></ol>
Funningur|Funning|Funningi|Funnings	<i>name</i><br><ol><li>Funningur (a village in the Faroe Islands)</li></ol>
Føroya|Føroya|Føroyum|Føroyar	<i>name</i><br><ol><li>Faroes', Faroe Islands', genitive plural form of Føroyar</li></ol>
Føroyar|Føroya|Føroyar|Føroyum	<i>name</i><br><ol><li>Faroe Islands</li></ol>
Føroyum|Føroya|Føroyum|Føroyar	<i>name</i><br><ol><li>Faroes, Faroe Islands, dative plural of Føroyar</li></ol>
Gambia	<i>name</i><br><ol><li>Gambia (a country in West Africa)</li></ol>
Gjógv	<i>name</i><br><ol><li>Gjógv (a village at the northeast tip of the Eysturoy island, Faroe Islands)</li></ol>
Gotland|Gotlands|Gotlandi	<i>name</i><br><ol><li>Gotland</li></ol>
Grani|Grana	<i>name</i><br><ol><li>Grani or Grane, a mythical horse that appears in Norse mythology. He is the horse that Sigurd receives through advice from an old man (Odin). Grani is the son of Odin's own steed, the eight-legged Sleipnir.</li></ol>
Grikkaland|Grikkalands|Grikkalandi	<i>name</i><br><ol><li>Greece</li></ol>
Grønland|Grønlandi|Grønlands	<i>name</i><br><ol><li>Greenland</li></ol>
