A|a	<i>character</i><br><ol><li>The first letter of the Occitan alphabet, written in the Latin script.</li></ol>
Afganistan	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Africa	<i>name</i><br><ol><li>Africa (a continent)</li></ol>
Agoust|Agousts	<i>noun</i><br><ol><li>August</li></ol>
Aigas Juntas	<i>name</i><br><ol><li>Aigues-Juntes (a village in the Ariège department, France)</li></ol>
Aigas Vivas	<i>name</i><br><ol><li>Aigues-Vives (a village in the Ariège department, France)</li></ol>
Ais	<i>name</i><br><ol><li>Aix-en-Provence (a city in France)</li></ol>
Alemanha	<i>name</i><br><ol><li>Germany (a country in Europe)</li></ol>
Alèir	<i>name</i><br><ol><li>Allier (a department of Auvergne-Rhône-Alpes, France)</li></ol>
America	<i>name</i><br><ol><li>America (the Americas)</li></ol>
America del Nòrd	<i>name</i><br><ol><li>North America (a continent)</li></ol>
America del Sud	<i>name</i><br><ol><li>South America</li></ol>
Amians	<i>name</i><br><ol><li>Amiens (a city in France)</li></ol>
Andalosia	<i>name</i><br><ol><li>Andalusia (an autonomous community of Spain)</li></ol>
Andòrra	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Angieus	<i>name</i><br><ol><li>Angers (a city in France)</li></ol>
Anglatèrra	<i>name</i><br><ol><li>England</li></ol>
Angòla	<i>name</i><br><ol><li>Angola (a country in Africa)</li></ol>
Antigua e Barbuda	<i>name</i><br><ol><li>Antigua and Barbuda (a country in the Caribbean)</li></ol>
Antíbol	<i>name</i><br><ol><li>Antibes (a city in France)</li></ol>
Aquitània	<i>name</i><br><ol><li>Aquitaine (a former region in France)</li></ol>
Arabia Saudita	<i>name</i><br><ol><li>Saudi Arabia</li></ol>
Aragon	<i>name</i><br><ol><li>Aragon (an autonomous community of Spain)</li></ol>
Ardecha	<i>name</i><br><ol><li>Ardèche (a department of Auvergne-Rhône-Alpes, France)</li><li>Ardèche (a river in France)</li></ol>
Ardenas	<i>name</i><br><ol><li>Ardennes (a department of France)</li></ol>
Argentina	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Argeria	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Arièja|Arièjo	<i>name</i><br><ol><li>Ariège (a department of Occitanie, France)</li></ol>
Arle	<i>name</i><br><ol><li>Arles (a city in the Bouches-du-Rhône department, France)</li></ol>
Armenia	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Arnhac	<i>name</i><br><ol><li>Arignac (a village in the Ariège department, France)</li></ol>
Arpajon	<i>name</i><br><ol><li>Arpajon-sur-Cère (a city in the Cantal department, France)</li><li>Arpajon (a city in the Essonne department, France)</li></ol>
Arpavon	<i>name</i><br><ol><li>Arpavon (a village in the Drôme department, France)</li></ol>
Arquisat	<i>name</i><br><ol><li>Arquisat (a hamlet of Miglos in the Ariège department, France)</li></ol>
Arrienh	<i>name</i><br><ol><li>Arrien-en-Bethmale (a village in the Ariège department, France)</li></ol>
Arrot	<i>name</i><br><ol><li>Arrout (a village in the Ariège department, France)</li></ol>
Artigas	<i>name</i><br><ol><li>Artigues (village of Ariège, France).</li><li>Artigues (village of Aude, France).</li><li>Artigues (village of Hautes-Pyrénées, France).</li></ol>
Artigas de Bordèu	<i>name</i><br><ol><li>Artigues-près-Bordeaux (village of Gironde, France).</li></ol>
Artigat	<i>name</i><br><ol><li>Artigat (a village in the Ariège department, France)</li></ol>
Artigues	<i>name</i><br><ol><li>Artigues (a village in the Ariège department, France)</li></ol>
Ascon	<i>name</i><br><ol><li>Ascou (a village in the Ariège department, France)</li></ol>
Asia	<i>name</i><br><ol><li>Asia (a continent)</li></ol>
Auba	<i>name</i><br><ol><li>Aube (a department of France)</li></ol>
Aude	<i>name</i><br><ol><li>Aude (a department of Occitanie, France)</li><li>Aude (a river in the Aude department, France)</li></ol>
Aups|Alps	<i>name</i><br><ol><li>Alps (a mountain range in Western Europe)</li></ol>
Aups Maritims	<i>name</i><br><ol><li>Alpes-Maritimes (a department of Provence-Alpes-Côte d'Azur, France)</li></ol>
Aups de Provença Auta	<i>name</i><br><ol><li>Alpes-de-Haute-Provence (a department of Provence-Alpes-Côte d'Azur)</li></ol>
Austràlia	<i>name</i><br><ol><li>Australia (a continent)</li><li>Australia (a country in Oceania)</li></ol>
Auts Aups	<i>name</i><br><ol><li>Hautes-Alpes (a department of France)</li></ol>
Auvèrnhe|Auvèrnha	<i>name</i><br><ol><li>Auvergne (a former region and historical province of France)</li></ol>
Auvèrnhe Ròse Aups	<i>name</i><br><ol><li>Auvergne-Rhône-Alpes (a region of France)</li></ol>
Avairon	<i>name</i><br><ol><li>Aveyron (a department of France)</li></ol>
Avinhon	<i>name</i><br><ol><li>Avignon (a city in France)</li></ol>
Bahrayn	<i>name</i><br><ol><li>Bahrain (a country in Asia)</li></ol>
Baiona	<i>name</i><br><ol><li>Bayonne (a city and commune of France)</li></ol>
Banhèras de Luishon	<i>name</i><br><ol><li>(Gascony) Bagnères-de-Luchon (a commune of the Haute-Garonne department, France)</li></ol>
Banhères de Luishon	<i>name</i><br><ol><li>(Gascony) Alternative form of Banhèras de Luishon (“Bagnères-de-Luchon”)</li></ol>
Barcelona	<i>name</i><br><ol><li>Barcelona (the capital city of Catalonia, Spain)</li><li>Barcelona (a province of Catalonia, Spain)</li></ol>
Bartolomieu	<i>name</i><br><ol><li>(Gascony) Alternative form of Bertomieu</li></ol>
Bartomieu	<i>name</i><br><ol><li>(Gascony) Alternative form of Bertomieu</li></ol>
Bas Ren	<i>name</i><br><ol><li>Bas-Rhin (a department of France)</li></ol>
Belgica	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Bertolomieu	<i>name</i><br><ol><li>(Gascony) Alternative form of Bertomieu</li></ol>
Bertomiu	<i>name</i><br><ol><li>(Gascony) Alternative form of Bertomieu</li></ol>
Besançon	<i>name</i><br><ol><li>Besançon (a commune, the capital of the Doubs department, Bourgogne-Franche-Comté, France)</li></ol>
Besièrs	<i>name</i><br><ol><li>Béziers (a city in France)</li></ol>
Bessarabia	<i>name</i><br><ol><li>(historical) Bessarabia</li></ol>
Bessons	<i>name</i><br><ol><li>Gemini</li></ol>
Betica	<i>name</i><br><ol><li>(historical) Hispania Baetica</li></ol>
Betleèm	<i>name</i><br><ol><li>Bethlehem (a city in Palestine)</li></ol>
Betsabèa	<i>name</i><br><ol><li>Bathsheba (biblical figure)</li></ol>
Bielorussia	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Bigòrra	<i>name</i><br><ol><li>Bigorre</li></ol>
Bocas de Ròse	<i>name</i><br><ol><li>Bouches-du-Rhône (a department of France)</li></ol>
Bordèu	<i>name</i><br><ol><li>Bordeaux (the capital city of the Gironde department, France; capital city of the region of Nouvelle-Aquitaine)</li></ol>
Borges	<i>name</i><br><ol><li>Bourges (a city in France)</li></ol>
Borgonha	<i>name</i><br><ol><li>Burgundy (a former region in France)</li></ol>
Borgonha Franca Comtat	<i>name</i><br><ol><li>Bourgogne-Franche-Comté (a region of France)</li></ol>
Bossòst	<i>name</i><br><ol><li>(Gascony) Bossòst (a municipality of Lleida prefecture, Catalonia, Spain).</li></ol>
