ঁ	<i>character</i><br><ol><li>The candrabindu nasal vowel diacritic of the Bengali script.</li></ol>
ং	<i>character</i><br><ol><li>The anusvara of the Bengali alphabet.</li></ol>
ঃ	<i>character</i><br><ol><li>The visarga in the Bengali abugida.</li></ol>
অ|ô	<i>character</i><br><ol><li>The first character in the Bengali alphabet. Its name is shôre ô.</li></ol><br><i>intj</i><br><ol><li>An exclamation to get someone's attention.</li><li>An expression of regret.</li></ol>
অ আ|ô a	<i>noun</i><br><ol><li>The alphabet.</li><li>The fundamentals of any subject.</li></ol>
অ আ ক খ|ô a kô khô	<i>noun</i><br><ol><li>The alphabet.</li><li>The fundamentals of any subject.</li></ol>
অঁকোল|ỗkol	<i>noun</i><br><ol><li>a kind of flowering tree, Alangium salviifolium, the sage-leaved alangium</li></ol>
অংগুস্তানা|ôṅguśtana|ôṅguśṭhana|অংগুষ্ঠানা	<i>noun</i><br><ol><li>Thimble used to protect finger while sewing.</li><li>A kind of thimble used by instrumentalists while playing music; musical plectrums.</li><li>A strap or piece of leather used by barbers for keeping (as a folder) and sharpening razors etc.</li></ol>
অংশ|ôṅśô	<i>noun</i><br><ol><li>a section, part</li><li>a portion, fragment or decimal fraction (as in ভগ্নাংশ: ভগ্ন + অংশ)</li><li>the denominator of a fraction</li><li>region of a country</li><li>share of a property or business</li><li>semen of a deity</li><li>incarnation of a male deity</li><li>in any part or any case</li><li>points to consider</li><li>parts of a body</li><li>(geography) a degree of latitude or longitude</li><li>(geometry) 1/360th part of the circumference of a circle</li><li>(astrology) one of twelfth or thirtieth part of the zodiac</li><li>(mythology) name of an Aditya</li></ol>
অংশ করা|ôṅśô kôra	<i>verb</i><br><ol><li>(intransitive, transitive) to distribute or divide into parts or shares</li></ol>
অংশ-অংশ|ôṅśô-ôṅśô	<i>noun</i><br><ol><li>fraction of a fraction</li><li>different fractions or parts</li></ol>
অংশক|ôṅśôk	<i>noun</i><br><ol><li>a kinsman</li><li>a day</li><li>(mathematics) mantissa, the fractional part of a logarithm</li></ol>
অংশগত|ôṅśôgôtô	<i>adj</i><br><ol><li>included in the rightful or inherited share</li></ol>
অংশগ্রহণ|ôṅśôgrôhôn	<i>noun</i><br><ol><li>taking part, participation</li></ol>
অংশগ্রহণ করা|ôṅśôgrôhôn kôra	<i>verb</i><br><ol><li>(intransitive, transitive) to take part, to participate in</li></ol>
অংশগ্রহণকারী|ôṅśôgrôhônkari	<i>noun</i><br><ol><li>participants, who takes part/participate in</li></ol>
অংশগ্রাহী|ôṅśôgrahi	<i>adj</i><br><ol><li>participating</li><li>(business) sharing, holding a share</li></ol><br><i>noun</i><br><ol><li>participant, party</li><li>(business) partner, co-sharer, shareholder, associate</li></ol>
অংশত|ôṅśôtô	<i>adv</i><br><ol><li>partly, partially, in part</li></ol>
অংশন|ôṅśôn	<i>noun</i><br><ol><li>diving, apportioning</li><li>division, apportionment</li></ol>
অংশনামা|ôṅśnama	<i>noun</i><br><ol><li>(law) a deed of partition or share</li></ol>
অংশনীয়|ôṅśniẏ	<i>adj</i><br><ol><li>divisible into parts</li><li>to be divided</li></ol>
অংশভাক|ôṅśôbhak	<i>adj</i><br><ol><li>entitled to a share</li><li>wanting the share of any business</li><li>heir</li></ol><br><i>noun</i><br><ol><li>a shareholder, co-sharer, partner</li><li>an heir</li><li>somebody who wants a share</li></ol>
অংশভাগী|ôṅśôbhagi	<i>adj</i><br><ol><li>entitled to a share</li><li>having a claim share</li></ol><br><i>noun</i><br><ol><li>a shareholder, co-sharer, partner</li><li>claimant of any share</li></ol>
অংশমান|ôṅśôman	<i>adj</i><br><ol><li>in the process of being divided</li></ol>
অংশল|ôṅśôl	<i>adj</i><br><ol><li>strong, robust</li><li>muscular</li></ol>
অংশহর|ôṅśôhôr	<i>adj</i><br><ol><li>stealing a part or one's share</li><li>participating</li></ol>
অংশহারী|ôṅśôhari	<i>adj</i><br><ol><li>stealing a part or one's share</li><li>participating</li></ol>
