Ades	<i>name</i><br><ol><li>Adige (a river in South Tyrol)</li></ol>
Badia	<i>name</i><br><ol><li>A town in South Tyrol</li></ol>
Bulsan	<i>name</i><br><ol><li>Bolzano</li></ol>
Croazia	<i>name</i><br><ol><li>Croatia</li></ol>
Gherdëina	<i>name</i><br><ol><li>Val Gardena</li></ol>
Madona|Madones	<i>noun</i><br><ol><li>(Gherdëina) Madonna, Our Lady</li></ol>
Moroder	<i>name</i><br><ol><li>a Ladin surname</li></ol>
Nadel	<i>name</i><br><ol><li>Christmas</li></ol>
Senoner	<i>name</i><br><ol><li>a Ladin surname from a farm name (the most common in Gherdëina.</li></ol>
Südtirol	<i>name</i><br><ol><li>South Tyrol (a province of Italy)</li></ol>
Talia	<i>name</i><br><ol><li>Italy</li></ol>
Trentin	<i>name</i><br><ol><li>Trentino</li></ol>
Trënt	<i>name</i><br><ol><li>Trento</li></ol>
Unieja|Uniejes	<i>noun</i><br><ol><li>(Gherdëina) Venice</li></ol>
Val Badia	<i>name</i><br><ol><li>Badia Valley</li></ol>
a	<i>prep</i><br><ol><li>in</li><li>at</li><li>to</li></ol>
aa	<i>noun</i><br><ol><li>farmyard</li><li>threshing floor</li></ol>
abilitazion|abilitazions	<i>noun</i><br><ol><li>qualification</li><li>license</li><li>activation</li></ol>
abitant|abitanc|abitanć	<i>noun</i><br><ol><li>inhabitant</li></ol>
abitazion|abitazions	<i>noun</i><br><ol><li>habitation</li><li>residence</li></ol>
abrogazion|abrogazions	<i>noun</i><br><ol><li>abrogation</li></ol>
abrogaziun|abrogaziuns	<i>noun</i><br><ol><li>abrogation, repeal</li></ol>
academia|academies	<i>noun</i><br><ol><li>academy</li></ol>
acioche	<i>conj</i><br><ol><li>so that, in order that</li></ol>
aconsiadù|aconsiadus	<i>noun</i><br><ol><li>councillor</li></ol>
acordanza|acordanzes	<i>noun</i><br><ol><li>accordance</li></ol>
