.|link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ו.</li></ol>
.--.|link=link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for פ.</li></ol>
.-.|link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ר.</li></ol>
.-..|link=link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ל.</li></ol>
..|link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for י.</li></ol>
...|link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ש.</li></ol>
....|link=link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ח.</li></ol>
@	<i>symbol</i><br><ol><li>(computing) The symbol used as a separator between a username and a domain name in an e-mail address.</li></ol>
֯	<i>symbol</i><br><ol><li>A non-spacing symbol placed over a word or phrase of the Bible to indicate that presence of a Masoretic note in the margin.</li></ol>
ְ	<i>character</i><br><ol><li>See nikud point schwa. See also שווא.</li></ol>
ֱ	<i>character</i><br><ol><li>The niqqud point ḥataf segol. See also חטף סגול.</li></ol>
ֲ	<i>character</i><br><ol><li>The niqqud point ḥaṭaf pataḥ. See also חטף פתח.</li></ol>
ֳ	<i>character</i><br><ol><li>The niqqud point ḥaṭaf qamatz. See also חטף קמץ.</li></ol>
ִ	<i>character</i><br><ol><li>The niqqud point hiriq. See also חיריק.</li></ol>
ֵ	<i>character</i><br><ol><li>The niqqud point tzere. See also צירי.</li></ol>
ֶ	<i>character</i><br><ol><li>See niqqud point segol. See also סגול.</li></ol>
ַ	<i>character</i><br><ol><li>The niqqud point pataḥ.</li></ol>
ֹ	<i>character</i><br><ol><li>See niqqud point ḥolam. See also חולם.</li></ol>
ֻ	<i>character</i><br><ol><li>See nikud point kubutz. See also קובוץ.</li></ol>
ּ	<i>character</i><br><ol><li>dagesh, used to denote a geminated consonant, or a consonant pronounced as a plosive as opposed to as a fricative.</li><li>mappiq or mapiq, used to indicate that the letters ה (he) or א (aleph) are to be pronounced as consonants in positions where they usually indicate a vowel.</li><li>shuruk sign, used with ו (waw/vav) to indicate the long u vowel sound.</li></ol>
־אי|־אִי|־ַאי	<i>suffix</i><br><ol><li>-ian, -eer: Denoting a profession or occupation.</li><li>Used in forming adjectives related to a profession or occupation.</li><li>Used in forming taxonomic orders.</li></ol>
־ה|־ָה|־ָהּ	<i>postp</i><br><ol><li>(no longer productive) to, toward, in the direction of, -ward</li><li>(colloquial, no longer productive) at, located in the direction of</li></ol><br><i>pron</i><br><ol><li>(archaic) her, it: indicates the direct object of a verb</li><li>her, it: indicates the object of a preposition</li><li>(now formal) her, its: indicates the possessor of a singular construct noun</li></ol>
־ו|־וּ|־וֹ	<i>pron</i><br><ol><li>him, it: indicates the object of a preposition</li><li>(now formal) his, its: indicates the possessor of a singular construct noun</li></ol><br><i>suffix</i><br><ol><li>Indicates the masculine plural in the third person of the past tense.</li><li>Indicates the masculine plural in the second and third person of the future tense.</li><li>Indicates the masculine plural in the imperative.</li></ol>
־ון|־וֹן	<i>suffix</i><br><ol><li>A suffix indicating a periodical or a journal.</li><li>A diminutive suffix.</li><li>A suffix indicating collections.</li><li>A suffix indicating tools.</li><li>A suffix used in words indicating order.</li><li>A superlative suffix.</li><li>-um; used in borrowing certain European words that end in -um or one of its cognates.</li></ol>
־ות|־וּת|־ויות \\ ־ֻיּוֹת|־וֹת	<i>suffix</i><br><ol><li>-ness, -ity, -ism, -hood: a suffix forming nouns, especially abstract nouns, from adjectives and other words.</li><li>The plural ending for most feminine and a few masculine nouns (regardless of state).</li><li>The feminine plural ending for adjectives (regardless of state).</li><li>The feminine plural ending for present-tense and present-participle forms of verbs.</li><li>(rare) Appended to two masculine nouns denoting men, forming feminine counterparts denoting women or females.</li></ol>
־י|־ִי|or -í|־ֵי	<i>suffix</i><br><ol><li>Used in adjectives with the meaning “related to”. Used as a translation of -ic</li><li>Forming from place names nouns with the meaning “person related to”.</li><li>My, of mine, me (one suffix form of the first-person singular personal pronoun).</li><li>(by extension) -ie, -y Forming diminutive or affectionate forms of nouns or names.</li><li>Forming the plural construct form of a word, i.e. the construct form of ־ים.</li></ol>
־יהו|־יָהוּ|yáhu	<i>suffix</i><br><ol><li>A theophoric suffix, meaning "the Lord", used in many Biblical proper names</li></ol>
־יו|־ָיו	<i>suffix</i><br><ol><li>his, its (indicates that a noun pluralized with ־ִים (-ím) is possessed by a third person singular possessor)</li></ol>
־יות|־ִיּוּת|־ִיּוֹת	<i>suffix</i><br><ol><li>Used other than figuratively or idiomatically: see ־ִי, ־וּת.</li></ol>
