'	<i>punct</i><br><ol><li>(chiefly poetic) Used to indicate omission of the a in la to form l'.</li><li>(chiefly poetic) Used to indicate omission of the final -o of nominative singular nouns.</li></ol>
A|a-oj|a-ojn|a|a-on	<i>character</i><br><ol><li>The first letter of the Esperanto alphabet, called a and written in the Latin script.</li></ol>
Abadono|Abadonon	<i>name</i><br><ol><li>Abaddon</li></ol>
Abu-Dabio|Abu-Dabion	<i>name</i><br><ol><li>Abu Dhabi (an emirate of the United Arab Emirates)</li><li>Abu Dhabi (the capital city of the United Arab Emirates; capital city of Abu Dhabi emirate, United Arab Emirates)</li></ol>
Abuĝo|Abuĝon	<i>name</i><br><ol><li>Abuja (the capital city of Nigeria)</li></ol>
Abĥazio|Abĥazion	<i>name</i><br><ol><li>Abkhazia (a region and unrecognised country in Georgia, Caucasus)</li></ol>
Abĥazujo|Abĥazujon	<i>name</i><br><ol><li>Abkhazia (a region and unrecognised country in Georgia, Caucasus)</li></ol>
AdE	<i>name</i><br><ol><li>Abbreviation of Akademio de Esperanto (“Academy of Esperanto”).</li></ol>
Adamstaŭno|Adamstaŭnon	<i>name</i><br><ol><li>Adamstown (the capital city of the Pitcairn Islands)</li></ol>
Adelajdo|Adelajdon	<i>name</i><br><ol><li>Adelaide (the capital and largest city of South Australia)</li></ol>
Adeno|Adenon	<i>name</i><br><ol><li>Aden (a port and largest city in Yemen)</li></ol>
Adis-Abebo|Adis-Abebon	<i>name</i><br><ol><li>Addis Ababa (capital of Ethiopia)</li></ol>
Adisabebo|Adisabebon	<i>name</i><br><ol><li>Addis Ababa (the capital city of Ethiopia)</li></ol>
Adoniso|Adonison	<i>name</i><br><ol><li>Adonis</li></ol>
Advento|Adventon	<i>noun</i><br><ol><li>(Christianity) Advent</li></ol>
Afganio|Afganion	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afganistano|Afganistanon	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afganujo|Afganujon	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afrik-Eŭrazio|Afrik-Eŭrazion	<i>name</i><br><ol><li>Afro-Eurasia (a supercontinent consisting of Europe, Asia and Africa)</li></ol>
Afriko|Afrikon	<i>name</i><br><ol><li>Africa (continent south of Europe)</li></ol>
Afrodita|Afroditan	<i>name</i><br><ol><li>(Greek mythology) Alternative form of Afrodito (“Aphrodite”)</li></ol>
Afrodito|Afroditon	<i>name</i><br><ol><li>(Greek mythology) Aphrodite, Greek goddess of beauty and love</li></ol>
Afrotropo|Afrotropon	<i>name</i><br><ol><li>Afrotropic</li></ol>
Ajakso|Ajakson	<i>name</i><br><ol><li>Ajax</li></ol>
Ajuno|Ajunon	<i>name</i><br><ol><li>El Aaiún (the capital city of Western Sahara)</li></ol>
Akeno|Akenon	<i>name</i><br><ol><li>Aachen</li></ol>
Akilo|Akilon	<i>name</i><br><ol><li>Achilles</li></ol>
Akrao|Akraon	<i>name</i><br><ol><li>Accra (the capital city of Ghana)</li></ol>
Akvisto|Akviston	<i>name</i><br><ol><li>(astronomy) Aquarius (constellation)</li></ol>
Alabamo|Alabamon	<i>name</i><br><ol><li>Alabama (a state of the United States)</li></ol>
Aladino|Aladinon	<i>name</i><br><ol><li>Aladdin (protagonist of the namesake Middle Eastern folktale)</li></ol>
Alaho|Alahon	<i>name</i><br><ol><li>Allah, Arabic name of a deity in any of the Abrahamic religions</li></ol>
Alariko|Alarikon	<i>name</i><br><ol><li>(historical) Alaric</li></ol>
Alasko|Alaskon	<i>name</i><br><ol><li>Alaska (a state of the United States)</li></ol>
