،	<i>symbol</i><br><ol><li>The Persian comma punctuation mark.</li></ol>
؛	<i>symbol</i><br><ol><li>The Persian semicolon punctuation mark.</li></ol>
؟	<i>punct</i><br><ol><li>the Persian question mark</li></ol>
ء|hamzeh	<i>character</i><br><ol><li>Hamzeh. Its name is همزه.</li></ol>
آ|alef madde|â	<i>character</i><br><ol><li>alef-e madde</li><li>â-ye bâ-kolâh (آی باکلاه = Alef with hat)</li></ol>
آئورت|âort	<i>noun</i><br><ol><li>aorta</li></ol>
آئین	<i>noun</i><br><ol><li>institution, rite, ceremony, custom, ordinance, canon, usage, prescription</li><li>common law (in contradistinction to Islamic sharia law)</li><li>mode, form, manner</li><li>ornament, decoration</li></ol>
آئینه	<i>noun</i><br><ol><li>mirror</li></ol>
آب|آب‌ها|âb|آبها|âb-hâ	<i>noun</i><br><ol><li>water</li><li>liquid</li><li>juice</li><li>river</li><li>honour, reputation, standing</li></ol>
آب اکسیژنه|âb oksižene	<i>noun</i><br><ol><li>hydrogen peroxide</li></ol>
آب حیات|âb-e hayât	<i>noun</i><br><ol><li>Ab-i Hayat, elixir of life</li></ol>
آب در هاون کوبیدن|آب در هاوَن کوبیدن|âb dar hâvan kubidan	<i>proverb</i><br><ol><li>to beat a dead horse: to persist to do something pointless, to make a futile attempt, or to do something in vain beyond any reason.</li></ol>
آب زندگانی|âb-e zendegâni	<i>noun</i><br><ol><li>lit. water of life; Ab-i Hayat, elixir of life</li></ol>
آب سنگین|âb-e sangin	<i>noun</i><br><ol><li>heavy water</li></ol>
آب معدنی	<i>noun</i><br><ol><li>mineral water</li></ol>
آب منی|âb-e mani	<i>noun</i><br><ol><li>semen, cum</li></ol>
آب میوه|âbmive	<i>noun</i><br><ol><li>fruit juice</li></ol>
آب و جارو|âb o jâru	<i>noun</i><br><ol><li>washing and cleaning, sweeping clean (a building, a house, etc.)</li></ol>
آب و هوا|آب‌وهوا|âb-o-havâ|آبوهوا	<i>noun</i><br><ol><li>climate, weather conditions</li><li>Used other than figuratively or idiomatically: see آب, و, هوا.</li></ol>
آب کیر|âbkir	<i>noun</i><br><ol><li>(vulgar) semen, cum</li></ol>
آباد|آبادید|âbâdi|âbâdam|ـآباد|آبادم|آباد است|آبادند|آبادن|آبادی|آبادین|âbâdand|آبادیم|âbâdid|âbâdin|âbâdim|آباده|âbâde|âbâd|âbâdan|âbâd ast	<i>adj</i><br><ol><li>inhabitable</li><li>inhabited</li><li>populous</li><li>cultivated</li><li>good, elegant, fair, beautiful, convenient</li></ol><br><i>noun</i><br><ol><li>a city, building, habitation</li><li>an open plain</li><li>the Kaʻba or square temple at Mecca</li><li>salutation, congratulation</li><li>praise, eulogium, well done! bravo!</li><li>name of the first prophet sent to Persia</li></ol><br><i>suffix</i><br><ol><li>Forms names of towns and populated or inhabited areas.</li></ol>
آبادان|âbâdân	<i>noun</i><br><ol><li>cultivated or inhabited place</li></ol><br><i>adj</i><br><ol><li>cultivated, inhabited</li></ol><br><i>name</i><br><ol><li>Abadan (a city in Iran)</li></ol>
